Renderer: GfxRenderer Objekte: 1
Merkmalsaktoren: 3 Labels: 157
Bild je Kamerastellung: Median 33.9 ms, p95 43.8 ms, max 49.8 ms
         3052437 function calls (2988507 primitive calls) in 1.368 seconds

   Ordered by: cumulative time
   <Invalid regular expression 'app\\ui|pygfx|rendercanvas|wgpu'>
   List reduced from 990 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3661    0.002    0.000    0.085    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\renderers\wgpu\engine\update.py:33(update_resource)
       40    0.013    0.000    0.080    0.002 F:\3D Druck\app\ui\viewport.py:2942(layout_feature_labels)
     3659    0.007    0.000    0.079    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\renderers\wgpu\engine\update.py:58(_update_buffer)
     5264    0.009    0.000    0.078    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\renderers\wgpu\engine\pipeline.py:641(draw)
    15798    0.006    0.000    0.078    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\objects\_base.py:279(visible)
       27    0.001    0.000    0.078    0.003 F:\3D Druck\app\ui\render\gfx_renderer.py:472(_new_label)
    12331    0.003    0.000    0.069    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\objects\_base.py:210(_update_object)
     2084    0.009    0.000    0.064    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\objects\_base.py:217(_update_world_transform)
      520    0.001    0.000    0.062    0.000 F:\3D Druck\.venv\Lib\site-packages\pygfx\utils\transform.py:296(rotation)
      520    0.009    0.000    0.059    0.000 F:\3D Druck\.venv\Lib\site-packages\pylinalg\matrix.py:592(mat_look_at)



         3052437 function calls (2988507 primitive calls) in 1.368 seconds

